ID,Korean,English,Japanese
Hi,안녕~,Hi~,こんにちは
Score,점수,Score,スコア
HighScore,최고 점수,High Score,ベストスコア
StartMessage,엔터를 눌러\n시작,PRESS ENTER\nTO START,Enterを押して\n開始します
Wave,웨이브,Wave,波
Zombies,좀비 수,Zombies,ゾンビ
Upgrade1,1- 발사 속도 증가,1- INCREASED RATE OF FIRE,1- 発射速度の増加
Upgrade2,2- 탄창 용량 증가,2- INCREASED CLIP SIZE(NEXT RELOAD),2- クリップサイズの拡大
Upgrade3,3- 최대 체력 증가,3- INCREASED MAX HEALTH,3- 最大体力の増加
Upgrade4,4- 이동 속도 증가,4- INCREASED RUN SPEED,4- 走行速度の向上
Upgrade5,5- 체력 아이템 업그레이드,5- MORE AND BETTER HEALTH PICKUPS,5- より多くのより良い健康ピックアップ
Upgrade6,6- 탄약 아이템 업그레이드,6- MORE AND BETTER AMMO PICKUPS,6- より多くのより良い弾薬ピックアップ
